15	10	E	-7555723.021070745	200
emissionprobs	2	2	H3K27ac	0	0.9997004370751926
emissionprobs	2	2	H3K27ac	1	2.9956292480750517E-4
emissionprobs	2	3	H3K27me3	0	0.999478169394269
emissionprobs	2	3	H3K27me3	1	5.218306057309354E-4
emissionprobs	2	4	H3K36me3	0	0.9555426985087886
emissionprobs	2	4	H3K36me3	1	0.04445730149121146
emissionprobs	2	5	H3K4me1	0	0.9971130876252462
emissionprobs	2	5	H3K4me1	1	0.002886912374753836
emissionprobs	2	6	H3K4me2	0	0.9992633829499552
emissionprobs	2	6	H3K4me2	1	7.366170500447523E-4
emissionprobs	2	7	H3K4me3	0	0.9999138709508757
emissionprobs	2	7	H3K4me3	1	8.612904912432017E-5
emissionprobs	2	8	H3K79me2	0	0.9677275493333085
emissionprobs	2	8	H3K79me2	1	0.03227245066669141
emissionprobs	2	9	H3K9me3	0	0.9990356565458554
emissionprobs	2	9	H3K9me3	1	9.643434541446404E-4
emissionprobs	3	0	3K9ac	0	0.9971774757327041
emissionprobs	3	0	3K9ac	1	0.002822524267295842
emissionprobs	3	1	H2AFZ	0	0.9955880889176892
emissionprobs	3	1	H2AFZ	1	0.0044119110823107
emissionprobs	3	2	H3K27ac	0	0.9994782063608237
emissionprobs	3	2	H3K27ac	1	5.217936391764091E-4
emissionprobs	3	3	H3K27me3	0	0.9958297209118322
emissionprobs	3	3	H3K27me3	1	0.004170279088167713
emissionprobs	3	4	H3K36me3	0	0.8783956554372957
emissionprobs	3	4	H3K36me3	1	0.12160434456270436
emissionprobs	3	5	H3K4me1	0	0.9781438076902704
emissionprobs	3	5	H3K4me1	1	0.02185619230972962
emissionprobs	3	6	H3K4me2	0	0.9913505302096955
emissionprobs	3	6	H3K4me2	1	0.008649469790304438
emissionprobs	3	7	H3K4me3	0	0.9994521174101488
emissionprobs	3	7	H3K4me3	1	5.478825898510396E-4
emissionprobs	3	8	H3K79me2	0	0.22217293408319896
emissionprobs	3	8	H3K79me2	1	0.777827065916801
emissionprobs	3	9	H3K9me3	0	0.993767740437691
emissionprobs	3	9	H3K9me3	1	0.006232259562309042
emissionprobs	4	0	3K9ac	0	0.978410320358704
emissionprobs	4	0	3K9ac	1	0.02158967964129602
emissionprobs	4	1	H2AFZ	0	0.9409278767638954
emissionprobs	4	1	H2AFZ	1	0.05907212323610449
emissionprobs	4	2	H3K27ac	0	0.9993484908322157
emissionprobs	4	2	H3K27ac	1	6.51509167784279E-4
emissionprobs	4	3	H3K27me3	0	0.6539121769890385
emissionprobs	4	3	H3K27me3	1	0.3460878230109615
emissionprobs	4	4	H3K36me3	0	0.7877247248167567
emissionprobs	4	4	H3K36me3	1	0.21227527518324332
emissionprobs	4	5	H3K4me1	0	0.5427758612265812
emissionprobs	4	5	H3K4me1	1	0.4572241387734189
emissionprobs	4	6	H3K4me2	0	0.5386047912399807
emissionprobs	4	6	H3K4me2	1	0.4613952087600193
emissionprobs	4	7	H3K4me3	0	0.9736886113327887
emissionprobs	4	7	H3K4me3	1	0.02631138866721128
emissionprobs	4	8	H3K79me2	0	0.08799543278347205
emissionprobs	4	8	H3K79me2	1	0.9120045672165279
emissionprobs	4	9	H3K9me3	0	0.9965838837982968
emissionprobs	4	9	H3K9me3	1	0.003416116201703237
emissionprobs	5	0	3K9ac	0	0.8229043673257944
emissionprobs	5	0	3K9ac	1	0.17709563267420558
emissionprobs	5	1	H2AFZ	0	0.8053437304078872
